date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
2016-05-01,34,-1,1005.63,24,4,43,26,9,-10,1009,999,0.0
2016-05-02,36,4,1005.46,21,6,43,29,10,-2,1008,1001,0.0
2016-05-03,35,6,1006.00,27,5,41,29,12,-2,1009,1000,0.0
2016-05-04,34,7,1005.65,29,6,41,27,13,0,1008,1001,0.0
2016-05-05,31,11,1007.94,61,13,38,24,16,6,1011,1003,5.0
2016-05-06,28,13,1008.39,69,18,34,21,17,9,1011,1004,0.0
2016-05-07,30,10,1007.62,50,8,38,23,14,6,1010,1002,0.0
2016-05-08,34,8,1006.73,32,7,41,26,12,6,1010,1002,0.0
2016-05-09,34,11,1005.75,45,7,42,27,16,7,1008,1000,0.3
2016-05-10,34,16,1007.10,51,12,41,27,18,13,1010,1002,0.8
2016-05-11,32,16,1006.78,66,16,40,25,22,10,1011,1001,2.0
2016-05-12,34,13,1003.83,58,9,42,27,20,10,1007,998,0.3
2016-05-13,34,11,1003.56,40,9,42,26,16,7,1006,998,0.0
2016-05-14,35,13,1004.74,48,8,42,28,19,10,1007,1000,0.0
2016-05-15,36,12,1005.02,40,7,44,29,16,9,1008,1001,0.0
2016-05-16,36,13,1003.68,51,6,43,28,19,7,1006,999,3.0
2016-05-17,35,13,1001.58,42,8,44,26,16,10,1010,995,0.0
2016-05-18,36,11,999.88,45,5,45,27,17,6,1002,994,0.0
2016-05-19,38,6,998.96,33,4,46,29,13,-2,1002,994,0.0
2016-05-20,38,10,997.92,38,4,46,30,18,0,1001,992,0.0
2016-05-21,38,12,998.41,30,6,45,32,17,3,1001,992,0.0
2016-05-22,38,16,999.88,46,10,44,31,21,8,1003,995,0.0
2016-05-23,34,18,1001.13,69,18,42,25,21,15,1006,994,0.5
2016-05-24,32,16,1002.15,74,14,40,23,20,12,1005,996,0.0
2016-05-25,34,17,1000.02,51,16,40,28,20,15,1003,994,0.0
2016-05-26,34,16,1001.70,46,14,40,28,19,13,1004,997,0.0
2016-05-27,36,13,1003.43,40,7,42,30,18,7,1006,998,0.0
2016-05-28,35,16,1003.17,46,15,40,30,20,13,1009,997,0.0
2016-05-29,33,16,1002.18,48,16,41,25,18,13,1005,996,0.0
2016-05-30,32,17,1003.67,58,21,37,26,20,8,1007,999,0.0
2016-05-31,34,16,1005.08,52,12,41,28,20,10,1008,999,0.0
2016-06-01,35,13,1005.44,42,10,42,28,18,8,1009,999,0.0
2016-06-02,36,13,1004.80,38,10,42,30,18,9,1009,999,0.0
2016-06-03,38,13,1004.93,34,10,43,32,18,7,1008,999,0.0
2016-06-04,38,5,1004.67,27,4,44,31,18,2,1007,999,0.0
2016-06-05,38,6,1003.88,27,4,45,31,16,0,1007,998,0.0
2016-06-06,36,13,1003.29,51,5,44,27,21,5,1007,997,0.0
2016-06-07,38,12,1002.83,47,4,45,30,22,2,1006,996,0.0
2016-06-08,38,12,1001.24,43,7,44,31,19,8,1004,994,0.0
2016-06-09,36,12,1000.57,34,6,44,29,17,6,1003,994,0.0
2016-06-10,37,15,1000.60,41,11,43,31,21,12,1003,994,0.0
2016-06-11,34,18,1001.62,62,16,41,27,22,13,1004,994,0.0
2016-06-12,34,18,1001.20,58,23,41,27,21,15,1004,996,0.0
2016-06-13,35,19,1001.42,58,17,40,30,26,14,1004,995,0.0
2016-06-14,34,18,1000.63,49,18,39,29,24,16,1004,994,0.0
2016-06-15,34,18,998.76,52,16,39,30,22,15,1002,993,0.0
2016-06-16,35,17,999.57,46,21,40,30,20,13,1003,994,0.0
2016-06-17,36,17,1000.55,41,15,42,31,21,13,1003,994,0.0
2016-06-18,36,19,1001.70,46,15,42,30,22,15,1004,995,0.0
2016-06-19,35,20,1002.20,52,17,41,29,23,16,1005,996,0.0
2016-06-20,35,21,1001.20,66,21,41,29,23,17,1004,994,0.0
2016-06-21,34,22,1001.45,89,27,40,27,25,20,1003,999,3.0
2016-06-22,32,23,1003.00,84,31,37,27,25,20,1006,998,0.0
2016-06-23,34,23,1002.88,79,27,40,27,25,19,1007,996,0.0
2016-06-24,34,21,1001.19,62,24,40,28,23,18,1004,995,0.0
2016-06-25,34,21,1002.21,62,24,40,29,23,20,1005,998,2.0
2016-06-26,34,21,1001.93,66,30,39,29,25,18,1005,995,0.2
2016-06-27,34,23,1001.27,84,35,39,29,26,21,1003,997,4.0
2016-06-28,30,25,1002.41,94,45,35,25,26,23,1005,998,0.0
2016-06-29,32,24,1002.48,84,32,39,26,26,21,1005,996,0.0
2016-06-30,36,23,1000.22,62,22,42,30,26,19,1003,994,0.0
2016-07-01,28,25,999.43,100,55,33,24,27,23,1003,994,6.0
2016-07-02,26,25,999.87,100,66,31,22,26,23,1001,997,0.0
2016-07-03,28,25,1000.04,100,60,31,24,26,24,1007,996,0.0
2016-07-04,30,23,999.30,94,36,36,25,26,21,1001,994,0.0
2016-07-05,32,24,998.43,82,36,37,27,26,22,1001,993,0.0
2016-07-06,34,23,998.86,70,33,38,29,26,22,1002,994,0.0
2016-07-07,33,22,999.96,73,31,38,28,26,21,1002,995,0.0
2016-07-08,33,23,999.45,76,40,38,28,25,21,1002,994,0.0
2016-07-09,32,24,998.33,89,35,38,26,25,22,1000,994,0.7
2016-07-10,31,24,998.09,94,37,37,25,26,21,1000,993,16.0
2016-07-11,29,24,999.24,89,40,35,23,25,22,1001,995,0.2
2016-07-12,28,25,1000.34,94,66,31,26,27,23,1003,996,5.0
2016-07-13,30,26,1000.26,89,56,34,26,26,24,1002,996,0.0
2016-07-14,30,26,1000.84,91,60,33,26,26,25,1003,997,0.6
2016-07-15,26,26,1001.66,100,51,28,25,27,15,1003,999,23.0
2016-07-16,26,26,1002.31,100,82,28,24,27,24,1005,998,51.0
2016-07-17,27,25,1003.93,100,69,31,23,26,23,1006,1001,0.0
2016-07-18,28,25,1003.69,100,49,34,23,26,23,1006,999,0.0
2016-07-19,30,24,1003.27,84,42,35,25,25,23,1006,999,0.0
2016-07-20,30,23,1003.05,84,36,36,25,24,21,1006,998,0.0
2016-07-21,32,22,1002.77,74,34,37,26,23,20,1005,997,0.0
2016-07-22,32,22,1001.84,74,34,36,27,23,21,1004,997,0.0
2016-07-23,32,23,1002.64,74,39,36,27,24,20,1005,999,0.0
